num_units,hidden_layers,batch_size,lr,epochs,fold_splits,optName,alpha
50,2,1024,1.00E-03,20,10,Wame,0.9
50,2,1024,0.000316227766017,20,10,Wame,0.9
50,2,1024,1E-04,20,10,Wame,0.9
50,2,1024,3.16227766016838E-05,20,10,Wame,0.9
50,2,1024,1E-05,20,10,Wame,0.9
50,2,1024,3.16227766016838E-06,20,10,Wame,0.9
50,2,1024,1E-06,20,10,Wame,0.9
50,2,1024,3.16227766016838E-07,20,10,Wame,0.9
50,2,1024,1E-07,20,10,Wame,0.9
50,2,1024,3.16227766016838E-08,20,10,Wame,0.9
50,2,1024,1E-08,20,10,Wame,0.9
50,2,1024,3.16227766016838E-09,20,10,Wame,0.9
50,2,1024,1E-09,20,10,Wame,0.9
50,2,1024,3.16227766016838E-10,20,10,Wame,0.9
50,2,1024,1E-10,20,10,Wame,0.9
50,2,1024,3.16227766016838E-11,20,10,Wame,0.9
50,2,1024,1E-11,20,10,Wame,0.9
